Category,Metric,Breakpoint_snapshot
Failures,bus_factor_norm,5
Failures,gini_repo_load,5
Failures,bipartite_density,5
Failures,knowledge_redundancy,5
Failures,fc_attack_adaptive,5
Grew,bus_factor_norm,5
Grew,gini_repo_load,5
Grew,bipartite_density,5
Grew,knowledge_redundancy,5
Grew,fc_attack_adaptive,5
Healthy,bus_factor_norm,5
Healthy,gini_repo_load,5
Healthy,bipartite_density,5
Healthy,knowledge_redundancy,5
Healthy,fc_attack_adaptive,5
Stagnated,bus_factor_norm,5
Stagnated,gini_repo_load,5
Stagnated,bipartite_density,5
Stagnated,knowledge_redundancy,5
Stagnated,fc_attack_adaptive,5
