project_title,project_norm,status,snap_idx,data_timestamp,dev_count,repo_count,edges,nodes,components,giant_ratio,density,bipartite_density,avg_degree,knowledge_redundancy,bus_factor_norm,mean_repo_load,gini_repo_load,fc_attack_adaptive,dev_count_pct,repo_count_pct,edges_pct,nodes_pct,mean_repo_load_pct,knowledge_redundancy_pct,avg_degree_pct
1inch,1inch,Failures,0,2025-01-13 00:06:13.501155+00:00,124,81,386,205,4,0.9658536585365853,0.018460066953610712,0.03843090402230187,3.765853658536585,0.13239156032118468,0.024390243902439025,3.048780487804878,0.5960758807588076,0.1073170731707317,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1inch,1inch,Failures,1,2025-04-07 04:18:36.823830+00:00,127,82,392,209,4,0.9665071770334929,0.0180345969819654,0.037641636258882276,3.751196172248804,0.13236395369989665,0.023809523809523808,3.015873015873016,0.5944862155388471,0.10526315789473684,102.41935483870968,101.23456790123457,101.55440414507773,101.95121951219512,98.92063492063492,99.97914774837531,99.61077918536331
1inch,1inch,Failures,2,2025-04-30 19:56:01.133459+00:00,125,82,391,207,4,0.966183574879227,0.018338727076591153,0.03814634146341463,3.7777777777777777,0.1332722133301425,0.024193548387096774,3.0483870967741935,0.5964328383683223,0.10628019323671498,100.80645161290323,101.23456790123457,101.29533678756476,100.97560975609755,99.98709677419355,100.66518817877916,100.31663788140473
1inch,1inch,Failures,3,2025-05-20 04:00:19.776788+00:00,126,84,400,210,5,0.9571428571428572,0.01822738664843928,0.03779289493575208,3.8095238095238093,0.12503562548164712,0.024,3.096,0.6020051679586563,0.10476190476190476,101.61290322580645,103.7037037037037,103.62694300518133,102.4390243902439,101.5488,94.44380380313375,101.15963483839133
1inch,1inch,Failures,4,2025-06-20 04:00:14.727978+00:00,130,87,416,217,5,0.9585253456221198,0.01775046936337259,0.0367816091954023,3.834101382488479,0.12673952012718412,0.023255813953488372,3.116279069767442,0.6058081684600255,0.10138248847926268,104.83870967741935,107.40740740740742,107.7720207253886,105.85365853658537,102.2139534883721,95.73081533272317,101.8122776438003
1inch,1inch,Failures,5,2025-07-23 17:38:13.011985+00:00,132,87,427,219,5,0.958904109589041,0.01788781366511667,0.03718216649251132,3.8995433789954337,0.12559433479124882,0.022900763358778626,3.1526717557251906,0.6077666672827754,0.1004566210045662,106.4516129032258,107.40740740740742,110.62176165803108,106.82926829268294,103.40763358778626,94.86581658721624,103.55005086710673
1inch,1inch,Failures,6,2025-08-20 04:12:03.435866+00:00,132,88,435,220,5,0.9590909090909091,0.01805728518057285,0.03744834710743802,3.9545454545454546,0.12636477834099658,0.022900763358778626,3.213740458015267,0.6130804518503744,0.1,106.4516129032258,108.64197530864197,112.69430051813471,107.31707317073172,105.41068702290075,95.44775968682066,105.01059821008008
1inch,1inch,Failures,7,2025-09-20 04:03:23.657570+00:00,135,88,443,223,5,0.9596412556053812,0.017896820587403547,0.03728956228956229,3.9730941704035874,0.12541362853176247,0.022388059701492536,3.201492537313433,0.6093831541592736,0.10762331838565023,108.87096774193547,108.64197530864197,114.76683937823834,108.78048780487805,105.0089552238806,94.72932279633717,105.50314830734915
1inch,1inch,Failures,8,2025-10-20 05:48:43.351519+00:00,137,89,455,226,5,0.9601769911504425,0.01789577187807276,0.03731649306979414,4.0265486725663715,0.12679471260769704,0.022058823529411766,3.2426470588235294,0.6112945178071229,0.10619469026548672,110.48387096774192,109.87654320987654,117.87564766839378,110.2439024390244,106.35882352941178,95.77250415365633,106.92260076115365
Abracadabra,abracadabra,Failures,0,2025-01-13 00:06:13.501155+00:00,26,16,48,42,1,1.0,0.05574912891986063,0.11538461538461539,2.2857142857142856,0.0829410254777902,0.12,1.88,0.3421276595744681,0.14285714285714285,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Abracadabra,abracadabra,Failures,1,2025-04-07 04:18:36.823830+00:00,27,19,53,46,1,1.0,0.051207729468599035,0.10331384015594541,2.3043478260869565,0.1105308302808303,0.11538461538461539,2.0,0.38461538461538464,0.13043478260869565,103.84615384615385,118.75,110.41666666666667,109.52380952380953,106.38297872340425,133.2643642203677,100.81521739130434
Abracadabra,abracadabra,Failures,2,2025-04-30 19:56:01.133459+00:00,27,19,53,46,1,1.0,0.051207729468599035,0.10331384015594541,2.3043478260869565,0.1105308302808303,0.11538461538461539,2.0,0.38461538461538464,0.13043478260869565,103.84615384615385,118.75,110.41666666666667,109.52380952380953,106.38297872340425,133.2643642203677,100.81521739130434
Abracadabra,abracadabra,Failures,3,2025-05-20 04:00:19.776788+00:00,27,19,53,46,1,1.0,0.051207729468599035,0.10331384015594541,2.3043478260869565,0.1105308302808303,0.11538461538461539,2.0,0.38461538461538464,0.13043478260869565,103.84615384615385,118.75,110.41666666666667,109.52380952380953,106.38297872340425,133.2643642203677,100.81521739130434
Abracadabra,abracadabra,Failures,4,2025-06-20 04:00:14.727978+00:00,27,19,53,46,1,1.0,0.051207729468599035,0.10331384015594541,2.3043478260869565,0.1105308302808303,0.11538461538461539,2.0,0.38461538461538464,0.13043478260869565,103.84615384615385,118.75,110.41666666666667,109.52380952380953,106.38297872340425,133.2643642203677,100.81521739130434
Abracadabra,abracadabra,Failures,5,2025-07-23 17:38:13.011985+00:00,28,19,54,47,1,1.0,0.04995374653098982,0.10150375939849623,2.297872340425532,0.11006203007518799,0.1111111111111111,1.962962962962963,0.38155136268343814,0.1276595744680851,107.6923076923077,118.75,112.5,111.90476190476191,104.41292356185974,132.69914308530005,100.53191489361704
Abracadabra,abracadabra,Failures,6,2025-08-20 04:12:03.435866+00:00,28,19,54,47,1,1.0,0.04995374653098982,0.10150375939849623,2.297872340425532,0.11006203007518799,0.1111111111111111,1.962962962962963,0.38155136268343814,0.1276595744680851,107.6923076923077,118.75,112.5,111.90476190476191,104.41292356185974,132.69914308530005,100.53191489361704
Abracadabra,abracadabra,Failures,7,2025-09-20 04:03:23.657570+00:00,28,19,54,47,1,1.0,0.04995374653098982,0.10150375939849623,2.297872340425532,0.11006203007518799,0.1111111111111111,1.962962962962963,0.38155136268343814,0.1276595744680851,107.6923076923077,118.75,112.5,111.90476190476191,104.41292356185974,132.69914308530005,100.53191489361704
Abracadabra,abracadabra,Failures,8,2025-10-20 05:48:43.351519+00:00,28,19,54,47,1,1.0,0.04995374653098982,0.10150375939849623,2.297872340425532,0.11006203007518799,0.1111111111111111,1.962962962962963,0.38155136268343814,0.1276595744680851,107.6923076923077,118.75,112.5,111.90476190476191,104.41292356185974,132.69914308530005,100.53191489361704
Bancor,bancor,Failures,0,2025-01-13 00:06:13.501155+00:00,71,34,194,105,2,0.9809523809523809,0.03553113553113553,0.08036454018227009,3.6952380952380954,0.1314223149758215,0.05714285714285714,2.5,0.4776326530612245,0.11428571428571428,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bancor,bancor,Failures,1,2025-04-07 04:18:36.823830+00:00,71,35,197,106,2,0.9811320754716981,0.03539982030548068,0.07927565392354124,3.7169811320754715,0.11887953189588807,0.05714285714285714,2.5428571428571427,0.48170144462279296,0.11320754716981132,100.0,102.94117647058823,101.5463917525773,100.95238095238095,101.71428571428571,90.45612376996937,100.58840692472282
Bancor,bancor,Failures,2,2025-04-30 19:56:01.133459+00:00,71,35,197,106,2,0.9811320754716981,0.03539982030548068,0.07927565392354124,3.7169811320754715,0.11887953189588807,0.05714285714285714,2.5428571428571427,0.48170144462279296,0.11320754716981132,100.0,102.94117647058823,101.5463917525773,100.95238095238095,101.71428571428571,90.45612376996937,100.58840692472282
Bancor,bancor,Failures,3,2025-05-20 04:00:19.776788+00:00,71,35,198,106,2,0.9811320754716981,0.03557951482479784,0.07967806841046278,3.7358490566037736,0.11897743594116054,0.05714285714285714,2.557142857142857,0.4841979249800479,0.11320754716981132,100.0,102.94117647058823,102.06185567010309,100.95238095238095,102.28571428571426,90.5306195245834,101.09900797510211
Bancor,bancor,Failures,4,2025-06-20 04:00:14.727978+00:00,71,35,198,106,2,0.9811320754716981,0.03557951482479784,0.07967806841046278,3.7358490566037736,0.11897743594116054,0.05714285714285714,2.557142857142857,0.4841979249800479,0.11320754716981132,100.0,102.94117647058823,102.06185567010309,100.95238095238095,102.28571428571426,90.5306195245834,101.09900797510211
Bancor,bancor,Failures,5,2025-07-23 17:38:13.011985+00:00,71,35,198,106,2,0.9811320754716981,0.03557951482479784,0.07967806841046278,3.7358490566037736,0.11897743594116054,0.05714285714285714,2.557142857142857,0.4841979249800479,0.11320754716981132,100.0,102.94117647058823,102.06185567010309,100.95238095238095,102.28571428571426,90.5306195245834,101.09900797510211
Bancor,bancor,Failures,6,2025-08-20 04:12:03.435866+00:00,71,35,198,106,2,0.9811320754716981,0.03557951482479784,0.07967806841046278,3.7358490566037736,0.11897743594116054,0.05714285714285714,2.557142857142857,0.4841979249800479,0.11320754716981132,100.0,102.94117647058823,102.06185567010309,100.95238095238095,102.28571428571426,90.5306195245834,101.09900797510211
Bancor,bancor,Failures,7,2025-09-20 04:03:23.657570+00:00,72,35,203,107,2,0.9813084112149533,0.035796155880797036,0.08055555555555556,3.794392523364486,0.11828737610864642,0.056338028169014086,2.5774647887323945,0.48225967828830907,0.11214953271028037,101.40845070422534,102.94117647058823,104.63917525773196,101.9047619047619,103.09859154929578,90.00554900467887,102.68330282300799
Bancor,bancor,Failures,8,2025-10-20 05:48:43.351519+00:00,71,35,199,106,2,0.9811320754716981,0.03575920934411501,0.0800804828973843,3.7547169811320753,0.12030164484112703,0.05714285714285714,2.557142857142857,0.4841979249800479,0.11320754716981132,100.0,102.94117647058823,102.57731958762886,100.95238095238095,102.28571428571426,91.53821773970395,101.60960902548142
Beanstalk,beanstalk,Failures,0,2025-01-13 00:06:13.501155+00:00,54,38,160,92,1,1.0,0.038222646918299095,0.07797270955165692,3.4782608695652173,0.16790466719948433,0.11320754716981132,2.849056603773585,0.5460452330376109,0.10869565217391304,100.0,100.0,100.0,100.0,100.0,100.0,100.0
