category,window_start,window_end,center_snap,outcome,predictor,coef
Failures,1,3,2,bus_factor_norm,bus_factor_norm,-0.12894225155448533
Failures,1,3,2,bus_factor_norm,gini_repo_load,-0.043551430552389046
Failures,1,3,2,bus_factor_norm,bipartite_density,0.14847616669551805
Failures,1,3,2,bus_factor_norm,knowledge_redundancy,0.10428972694455288
Failures,1,3,2,bus_factor_norm,fc_attack_adaptive,0.1188929506232724
Failures,1,3,2,gini_repo_load,bus_factor_norm,1.0551363506453648
Failures,1,3,2,gini_repo_load,gini_repo_load,0.5123237552533458
Failures,1,3,2,gini_repo_load,bipartite_density,-0.7523086979377019
Failures,1,3,2,gini_repo_load,knowledge_redundancy,-1.0924785251900466
Failures,1,3,2,gini_repo_load,fc_attack_adaptive,-0.3307599979383019
Failures,1,3,2,bipartite_density,bus_factor_norm,0.05091233712477025
Failures,1,3,2,bipartite_density,gini_repo_load,-0.1187117085508894
Failures,1,3,2,bipartite_density,bipartite_density,0.18818992274190552
Failures,1,3,2,bipartite_density,knowledge_redundancy,0.01660717479636413
Failures,1,3,2,bipartite_density,fc_attack_adaptive,-0.3315939761728247
Failures,1,3,2,knowledge_redundancy,bus_factor_norm,-0.06014981949759239
Failures,1,3,2,knowledge_redundancy,gini_repo_load,-0.13698829025711481
Failures,1,3,2,knowledge_redundancy,bipartite_density,-0.07644985264891403
Failures,1,3,2,knowledge_redundancy,knowledge_redundancy,0.18448634198332242
Failures,1,3,2,knowledge_redundancy,fc_attack_adaptive,0.08222979875497682
Failures,1,3,2,fc_attack_adaptive,bus_factor_norm,-0.2209011036277099
Failures,1,3,2,fc_attack_adaptive,gini_repo_load,-0.013012487478729524
Failures,1,3,2,fc_attack_adaptive,bipartite_density,-0.042186512526238715
Failures,1,3,2,fc_attack_adaptive,knowledge_redundancy,0.14107152958131908
Failures,1,3,2,fc_attack_adaptive,fc_attack_adaptive,0.6121895337889436
Failures,2,4,3,bus_factor_norm,bus_factor_norm,0.4759518006047192
Failures,2,4,3,bus_factor_norm,gini_repo_load,0.00939514548314881
Failures,2,4,3,bus_factor_norm,bipartite_density,-0.1224574913962068
Failures,2,4,3,bus_factor_norm,knowledge_redundancy,0.11875601523115882
Failures,2,4,3,bus_factor_norm,fc_attack_adaptive,-0.11162800379184717
Failures,2,4,3,gini_repo_load,bus_factor_norm,-0.44057992454091777
Failures,2,4,3,gini_repo_load,gini_repo_load,0.46434501834764474
Failures,2,4,3,gini_repo_load,bipartite_density,0.6466538637922261
Failures,2,4,3,gini_repo_load,knowledge_redundancy,-0.017724866505529423
Failures,2,4,3,gini_repo_load,fc_attack_adaptive,0.4927400521302199
Failures,2,4,3,bipartite_density,bus_factor_norm,0.38060733365660104
Failures,2,4,3,bipartite_density,gini_repo_load,-0.07911177105245618
Failures,2,4,3,bipartite_density,bipartite_density,0.025405546068810764
Failures,2,4,3,bipartite_density,knowledge_redundancy,0.05256202302082838
Failures,2,4,3,bipartite_density,fc_attack_adaptive,-0.2954331551615265
Failures,2,4,3,knowledge_redundancy,bus_factor_norm,0.6018953918535934
Failures,2,4,3,knowledge_redundancy,gini_repo_load,-0.11906702899796479
Failures,2,4,3,knowledge_redundancy,bipartite_density,-0.6292591988240824
Failures,2,4,3,knowledge_redundancy,knowledge_redundancy,-0.14016562241015806
Failures,2,4,3,knowledge_redundancy,fc_attack_adaptive,-0.3389087864307837
Failures,2,4,3,fc_attack_adaptive,bus_factor_norm,-0.22637920113272667
Failures,2,4,3,fc_attack_adaptive,gini_repo_load,-0.016684622564794947
Failures,2,4,3,fc_attack_adaptive,bipartite_density,0.1970746282759157
Failures,2,4,3,fc_attack_adaptive,knowledge_redundancy,0.09356101504616626
Failures,2,4,3,fc_attack_adaptive,fc_attack_adaptive,0.6022479582601257
Failures,3,5,4,bus_factor_norm,bus_factor_norm,0.08000210180106476
Failures,3,5,4,bus_factor_norm,gini_repo_load,0.022311515009513082
Failures,3,5,4,bus_factor_norm,bipartite_density,-0.10328476149578456
Failures,3,5,4,bus_factor_norm,knowledge_redundancy,0.14880078327358326
Failures,3,5,4,bus_factor_norm,fc_attack_adaptive,-0.1091318897754107
Failures,3,5,4,gini_repo_load,bus_factor_norm,-0.06064684092474104
