category,center_snap_prev,center_snap_curr,frob_norm_diff,outcome,predictor,coef_diff
Failures,2,3,2.784108271614386,,,
Failures,3,4,1.5802193133978004,,,
Failures,4,5,1.7699549108777568,,,
Failures,5,6,4.287604246992022,,,
Failures,6,7,1.5113785944287774,,,
Grew,2,3,1.4413494001810438,,,
Grew,3,4,0.5878882204194671,,,
Grew,4,5,6.717622711052685,,,
Grew,5,6,7.158697711018559,,,
Grew,6,7,2.0475713701655516,,,
Healthy,2,3,3.1456541420587643,,,
Healthy,3,4,2.699587389900506,,,
Healthy,4,5,6.176482062808366,,,
Healthy,5,6,2.857895287384178,,,
Healthy,6,7,6.383952863130236,,,
Stagnated,2,3,2.5167221273889178,,,
Stagnated,3,4,3.5855444736240343,,,
Stagnated,4,5,10.36385476434166,,,
Stagnated,5,6,9.243687087013882,,,
Stagnated,6,7,1.5681056093319492,,,
