Project,Category,Metric,Initial,Final,Change_%,Trend,Volatility,Peaks,Troughs,Jumps,Drops
Maple,Grew,Bus Factor,0.11764705882352941,0.10810810810810811,-8.10810810121621,stable,low,0,0,1,1
Maple,Grew,Density,0.11241217798594848,0.10653650254668931,-5.226902938191202,stable,low,0,0,1,1
Maple,Grew,Gini (Inequality),0.6736395092796477,0.6696696696696697,-0.5893121698924398,stable,low,0,0,1,1
Maple,Grew,Redundancy,0.393224831425773,0.37289895184099475,-5.169022390043559,stable,low,0,0,0,1
Maple,Grew,Vulnerability (Critical Fraction),0.10416666666666667,0.1,-3.999999996159999,stable,low,0,0,1,1
UniLend,Failure,Bus Factor,0.16666666666666666,0.14285714285714285,-14.285714277142855,stable,low,0,0,0,1
UniLend,Failure,Density,0.22857142857142856,0.2125,-7.031249996923828,stable,low,0,0,0,1
UniLend,Failure,Gini (Inequality),0.36666666666666664,0.375,2.272727272107445,stable,low,0,0,1,0
UniLend,Failure,Redundancy,0.3296296296296296,0.32523809523809527,-1.332263241971415,stable,low,0,0,0,1
UniLend,Failure,Vulnerability (Critical Fraction),0.17647058823529413,0.16666666666666666,-5.5555555524074185,stable,low,0,0,0,1
EOS,Stagnated,Bus Factor,0.013175675675675676,0.012326169405815424,-6.4475347171837,stable,low,0,0,0,1
EOS,Stagnated,Density,0.0023236940643541412,0.002218164010904964,-4.541477749870274,stable,low,0,0,0,1
EOS,Stagnated,Gini (Inequality),0.5917064962570859,0.6048577797068596,2.2226025116744834,stable,low,0,0,1,0
EOS,Stagnated,Redundancy,0.028227560864174803,0.0311614820383931,10.393817510276216,stable,low,0,0,1,0
EOS,Stagnated,Vulnerability (Critical Fraction),0.05002294630564479,0.050021376656690895,-0.0031378578566102107,stable,low,0,0,1,1
Uniswap,Healthy,Bus Factor,0.012433392539964476,0.015237020316027089,22.54917750325806,stable,low,0,0,1,0
Uniswap,Healthy,Density,0.00888960724098917,0.00291080536313998,-67.25608509479916,stable,high,0,0,0,1
Uniswap,Healthy,Gini (Inequality),0.49372555505362425,0.46000150080706664,-6.830526371288248,stable,low,0,0,0,1
Uniswap,Healthy,Redundancy,0.020928929014329852,0.009506015102623387,-54.579543221278804,stable,moderate,0,0,0,1
Uniswap,Healthy,Vulnerability (Critical Fraction),0.050143266475644696,0.0500198491464867,-0.24612941594423118,stable,low,0,0,1,1
